locations/id,locations/response/destination_addresses/0,locations/response/origin_addresses/0,locations/response/rows/0/elements/0/status,locations/response/status,locations/response/rows/0/elements/0/distance/text,locations/response/rows/0/elements/0/distance/value,locations/response/rows/0/elements/0/duration/text,locations/response/rows/0/elements/0/duration/value,locations/response/rows/0/elements/0/fare/currency,locations/response/rows/0/elements/0/fare/text,locations/response/rows/0/elements/0/fare/value
https://reality.idnes.cz/detail/prodej/byt/praha-5-vrazova/5aaf9838a26e3a78ee600dd0/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Vrázova 535, Smíchov, 150 00 Praha-Praha 5, Czechia",OK,OK,2.1 km,2127,27 mins,1624,,,
https://reality.idnes.cz/detail/prodej/byt/praha-3-rehorova/60131af5735eb551081b8123/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Řehořova 964/28, 130 00 Praha 3-Žižkov, Czechia",OK,OK,1.6 km,1554,20 mins,1195,,,
https://reality.idnes.cz/detail/prodej/byt/praha-7-mala-plynarni/60702c541947bb3638522c6b/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Malá Plynární 286/7, 170 00 Praha 7-Holešovice, Czechia",OK,OK,4.2 km,4245,25 mins,1521,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-10-korunni/60761bc725ac534e1c16a1a3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Korunní 731/10, 120 00 Praha 2-Vinohrady, Czechia",OK,OK,1.5 km,1476,17 mins,1007,,,
https://reality.idnes.cz/detail/prodej/byt/praha-6-stehlikova/602a72480d91470d4a77d933/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Osvobození 1074, 165 00 Praha-Suchdol, Czechia",OK,OK,10.7 km,10749,40 mins,2405,CZK,CZK 24.00,24
https://www.remax-czech.cz/reality/detail/298956/prodej-bytu-5-1-v-osobnim-vlastnictvi-100-m2-praha-9-vinor,"stanice metra Můstek, 110 00 Praha 1, Czechia","Uherská 625, 190 17 Praha-Vinoř, Czechia",OK,OK,19.0 km,19034,54 mins,3255,CZK,CZK 32.00,32
https://reality.idnes.cz/detail/prodej/byt/praha-1-u-pujcovny/606dee67e42ee977bc1e85c3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","U Půjčovny 5, 110 00 Praha 1-Nové Město, Czechia",OK,OK,0.5 km,520,6 mins,385,,,
https://reality.idnes.cz/detail/prodej/byt/praha-7-mala-plynarni/60702d613b1d7e3bcd22a643/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Malá Plynární 286/7, 170 00 Praha 7-Holešovice, Czechia",OK,OK,4.2 km,4245,25 mins,1521,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-7-mala-plynarni/6070245f9d9e3f7fc1089773/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Malá Plynární 286/7, 170 00 Praha 7-Holešovice, Czechia",OK,OK,4.2 km,4245,25 mins,1521,CZK,CZK 24.00,24
https://sreality.cz/detail/prodej/byt/2+kk/praha-cerny-most-bryksova/2786197084,"50.082381,14.426107","50.1055954,14.5817578",ZERO_RESULTS,OK,,,,,,,
