_id,price,area,owner,building_type,state,balcony,basement,elevator,floor,penb,terrace,city_part,street,city_part_number,rooms,kitchen
https://reality.idnes.cz/detail/prodej/byt/praha-5-vrazova/5aaf9838a26e3a78ee600dd0/?s-et=flat&s-ot=sale&s-l=VUSC-19,7876000.0,76.0,osobní,cihlová,dobrý,0.0,0.0,1.0,2,G,0.0,Smíchov,Vrázova,Praha 5,3.0,0.0
https://reality.idnes.cz/detail/prodej/byt/praha-5-wassermannova/600e98600c3e630cf64ebbc3/?s-et=flat&s-ot=sale&s-l=VUSC-19,6849393.0,59.0,osobní,smíšená,ve výstavbě,1.0,0.0,0.0,1,B,1.0,Hlubočepy,Wassermannova,Praha 5,2.0,0.0
https://reality.idnes.cz/detail/prodej/byt/praha-6-podbabska/6058a2c4bddf16359860c4f3/?s-et=flat&s-ot=sale&s-l=VUSC-19,5499000.0,54.0,osobní,cihlová,dobrý,0.0,0.0,0.0,1,G,0.0,Bubeneč,Podbabská,Praha 6,2.0,0.0
https://reality.idnes.cz/detail/prodej/byt/praha-9-podebradska/606dac6059c3be2ca25e5c63/?s-et=flat&s-ot=sale&s-l=VUSC-19,3050000.0,23.0,osobní,smíšená,novostavba,0.0,0.0,1.0,3,B,0.0,Vysočany,Poděbradská,Praha 9,1.0,0.0
https://reality.idnes.cz/detail/prodej/byt/praha-3-jeseniova/605dd07f9ab2df514060cb93/?s-et=flat&s-ot=sale&s-l=VUSC-19,10990000.0,95.0,osobní,cihlová,novostavba,0.0,0.0,0.0,1,G,0.0,Žižkov,Jeseniova,Praha 3,3.0,0.0
https://reality.idnes.cz/detail/prodej/byt/praha-5-borovanskeho/60002f95a7bfe24ae04041a3/?s-et=flat&s-ot=sale&s-l=VUSC-19,5790000.0,76.0,osobní,panelová,dobrý,0.0,1.0,1.0,6,E,0.0,Stodůlky,Borovanského,Praha 5,3.0,1.0
https://sreality.cz/detail/prodej/byt/2+kk/praha--tresnova/3864268636,4394000.0,40.0,,cihlová,ve výstavbě,0.0,1.0,0.0,3,B,0.0,"Třešňová, Praha 9",Třešňová,Praha 9,2.0,0.0
https://reality.idnes.cz/detail/prodej/byt/praha-5-machateho/605ce2ffae88c111410583c3/?s-et=flat&s-ot=sale&s-l=VUSC-19,6490000.0,78.0,osobní,panelová,dobrý,0.0,1.0,1.0,5,G,0.0,Hlubočepy,Machatého,Praha 5,3.0,1.0
https://reality.idnes.cz/detail/prodej/byt/praha-7-mala-plynarni/60702c541947bb3638522c6b/?s-et=flat&s-ot=sale&s-l=VUSC-19,7650000.0,89.0,osobní,cihlová,po rekonstrukci,0.0,1.0,1.0,2,G,0.0,Holešovice,Malá Plynární,Praha 7,3.0,0.0
https://reality.idnes.cz/detail/prodej/byt/praha-5-podbelohorska/5eb558f337ba4d47506a3767/?s-et=flat&s-ot=sale&s-l=VUSC-19,18228840.0,120.0,osobní,cihlová,projekt,1.0,1.0,1.0,2,B,0.0,Smíchov,Podbělohorská,Praha 5,4.0,0.0
