locations/id,locations/response/destination_addresses/0,locations/response/origin_addresses/0,locations/response/rows/0/elements/0/status,locations/response/status,locations/response/rows/0/elements/0/distance/text,locations/response/rows/0/elements/0/distance/value,locations/response/rows/0/elements/0/duration/text,locations/response/rows/0/elements/0/duration/value
https://sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-husitska/2297600604,"Křižíkova 1, 186 00 Praha 8-Florenc, Czechia","U Památníku, 130 00 Praha-Praha 3, Czechia",OK,OK,0.8 km,768,9 mins,550
https://reality.idnes.cz/detail/prodej/byt/praha-10-korunni/60761bc725ac534e1c16a1a3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Náměstí Míru, 120 00 Praha 2, Czechia","Korunní 731/10, 120 00 Praha 2-Vinohrady, Czechia",OK,OK,0.1 km,139,2 mins,94
https://reality.idnes.cz/detail/prodej/byt/praha-3-jeseniova/608d6adb3f66ba1075543083/?s-et=flat&s-ot=sale&s-l=VUSC-19,"663, Sokolovská, 186 00 Praha 8-Invalidovna, Czechia","Jeseniova 582, 130 00 Praha 3-Žižkov, Czechia",OK,OK,1.4 km,1359,18 mins,1078
https://reality.idnes.cz/detail/prodej/byt/praha-7-mala-plynarni/6070245f9d9e3f7fc1089773/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Plynární 170 00, 170 00 Praha 7-Holešovice, Czechia","Malá Plynární 286/7, 170 00 Praha 7-Holešovice, Czechia",OK,OK,0.4 km,417,6 mins,343
https://www.remax-czech.cz/reality/detail/307757/prodej-bytu-4-kk-v-osobnim-vlastnictvi-133-m2-praha-9-vysocany,"Vysočanská, 190 00 Praha-Praha 9, Czechia","Freyova 184, 190 00 Praha 9-Vysočany, Czechia",OK,OK,0.8 km,808,10 mins,605
https://reality.idnes.cz/detail/prodej/byt/praha-10-na-pliskave/6072bae99dc9874b53721f47/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Opatovská 871, 149 00 Praha 11, Czechia","Na Plískavě 111, 102 00 Praha 15-Hostivař, Czechia",OK,OK,2.6 km,2630,36 mins,2158
https://reality.idnes.cz/detail/prodej/byt/praha-8-u-sluncove/60215512e8623b183d12da23/?s-et=flat&s-ot=sale&s-l=VUSC-19,"663, Sokolovská, 186 00 Praha 8-Invalidovna, Czechia","U Sluncové 186 00, 186 00 Praha 8-Invalidovna, Czechia",OK,OK,0.5 km,513,6 mins,368
https://reality.idnes.cz/detail/prodej/byt/praha-10-samova/60043fdcdbaf0c21e907cfa2/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Jiřího z Poděbrad, 120 00 Praha-Praha 2, Czechia","Sámova 10, Vršovice, 110 00 Praha-Praha 10, Czechia",OK,OK,1.4 km,1351,20 mins,1192
https://reality.idnes.cz/detail/prodej/byt/praha-3-cimburkova/6018c3d6109b637ff368cac3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Jiřího z Poděbrad, 130 00 Praha-Praha 3, Czechia","Cimburkova 282/17, 130 00 Praha 3-Žižkov, Czechia",OK,OK,1.1 km,1074,15 mins,908
https://www.prazskereality.cz/prostorny-zrekonstruovany-byt-2-kk-o-celkove-obytne-plos-7376354.html,"Na Hrázi 21, 180 00 Praha 8-Palmovka, Czechia","nám. Dr. Václava Holého 1049, Libeň, 180 00 Praha-Praha 8, Czechia",OK,OK,0.2 km,231,3 mins,169
